state_code,name,long_name
1,AGS,Aguascalientes
2,BC,Baja California
3,BCS,Baja California Sur
4,CAM,Campeche
5,COA,Coahuila de Zaragoza
6,COL,Colima
7,CHIS,Chiapas
8,CHIH,Chihuahua
9,DF,Distrito Federal
10,DUR,Durango
11,GTO,Guanajuato
12,GRO,Guerrero
13,HGO,Hidalgo
14,JAL,Jalisco
15,MEX,Estado de México
16,MICH,Michoacán de Ocampo
17,MOR,Morelos
18,NAY,Nayarit
19,NL,Nuevo León
20,OAX,Oaxaca
21,PUE,Puebla
22,QR,Querétaro
23,QROO,Quintana Roo
24,SLP,San Luis Potosí
25,SIN,Sinaloa
26,SON,Sonora
27,TAB,Tabasco
28,TAM,Tamaulipas
29,TLA,Tlaxcala
30,VER,Veracruz de Ignacio de la Llave
31,YUC,Yucatán
32,ZAC,Zacatecas
